軸番号,軸名,シナリオ,質問,A,B,C,D,E
1,要点抽出,会議後、長文の議事録を上司と一緒に確認している。上司から『結局この会議の結論は？』と即答を求められた。,どう反応するか,内容をうまく掴めず曖昧に答える,重要そうな部分を探すが結論が特定できない,結論と思われる箇所を見つけて伝える,結論とその根拠を簡潔に整理して伝える,結論が曖昧と判断し、再構成して明確化する
2,説明力,自分は理解している業務ツールについて、初心者の同僚に使い方を教えることになった。,どう説明するか,うまく説明できず任せる,手順だけ一方的に説明する,基本操作を順序立てて説明する,相手の理解度に合わせて例を交え説明する,前提確認から最適な説明設計を行う
3,読解力,業務マニュアルを読んでいると、明示されていない前提や注意点がありそうだと感じた。,どう読み進めるか,書いてある内容だけを受け取る,違和感はあるが深掘りしない,暗黙の前提があると気づく,文脈から意図や条件を推測する,全体構造を再構築して理解する
4,比喩理解,上司が『このプロジェクトは今、土台が揺れている』と発言した。,どう解釈するか,そのままの意味で受け取る,例えだとは思うが意味が曖昧,問題があることは理解する,基盤や前提が不安定だと解釈する,どの要素が土台か特定し改善を考える
5,会話追従,複数人の会話で話題が頻繁に切り替わる状況にいる。,どう振る舞うか,流れが分からず発言できない,なんとなく合わせる,現在の話題は把握できる,話題の流れを理解して会話に乗る,流れを整理し必要に応じて修正する
6,因果推論,業務でミスが発生し納期が遅れた。,どう考えるか,結果だけ受け取る,原因があると思うが考えない,原因を探し始める,複数要因を整理して特定する,原因構造を理解し再発防止策を立てる
7,構造化,複数の情報やタスクが混在している業務を整理する必要がある。,どう整理するか,そのまま扱う,なんとなく分ける,カテゴリごとに分類する,関係性を整理して構造化する,階層と因果を含めた全体構造を設計する
8,抽象化,複数の成功事例を比較して共通点を求める必要がある。,どう考えるか,個別事例のまま扱う,似ていると感じるだけ,共通点に気づく,共通概念としてまとめる,別分野にも適用可能な形にする
9,定量処理,複数の選択肢を数値データで比較する場面。,どう判断するか,感覚で選ぶ,ざっくり比較する,数値を使って比較する,指標化して評価する,最適化視点で意思決定する
10,問題分解,大きく複雑な問題に直面した。,どう対応するか,全体のまま考える,一部だけ分ける,問題を分割する,体系的に分解する,優先順位と依存関係まで設計する
11,空間把握,部屋のレイアウトを変更する必要がある。,どう考えるか,適当に配置する,違和感はあるが調整できない,位置関係を理解する,動線を考慮して配置する,全体最適になるよう設計する
12,身体操作,新しい動作（スポーツや作業）を行う。,どう動くか,思い通りに動けない,なんとなく再現する,意図に近い動きができる,ズレを修正できる,精密に制御できる
13,リズム感,音楽に合わせて一定のリズムで動く必要がある。,どう反応するか,リズムに乗れない,なんとなく合わせる,一定のリズムに合わせる,安定して維持する,変化にも柔軟に対応する
14,運動学習,新しい運動スキルを習得する場面。,どう学ぶか,習得できない,見よう見まね,再現できる,改善しながら学習する,効率的に最適化する
15,微細運動,細かい手作業（精密作業）を行う。,どう行うか,うまくできない,ぎこちない,一定の精度でできる,安定して行える,高精度で再現できる
16,役割理解,チームで役割分担されたプロジェクトに参加している。,どう行動するか,役割を意識しない,なんとなく理解,自分の役割を理解する,他者の役割も含め把握する,全体最適で行動する
17,期待値推論,上司の指示が曖昧で意図が不明確。,どう考えるか,指示通りのみ行う,迷うだけ,意図を考える,期待値を推測する,先回りして行動する
18,空気把握,会議中に場の雰囲気が微妙に変化した。,どう感じるか,気づかない,違和感だけ感じる,変化に気づく,原因を理解する,場を調整しにいく
19,利害調整,メンバー同士で意見が対立している。,どう動くか,関与しない,困るだけ,意見を整理する,折衷案を作る,全体最適の合意形成を行う
20,信頼構築,新しいメンバーと長期的に関係を築く必要がある。,どう接するか,関わらない,表面的に接する,関係を築く,継続的に関係を深める,信頼関係を意図的に設計する
